timestamp_local,timestamp_utc,stay_id,sensor_id,fs_hz,ax_g,ay_g,az_g
2025-10-27T13:16:02.783405-06:00,2025-10-27T19:16:02.783405+00:00,T14-I-CUE,ACC-01,256.0,0.3923394725427623,0.20075886461941655,0.04101872871942985
2025-10-27T13:16:02.788727-06:00,2025-10-27T19:16:02.788727+00:00,T13-I-CUE,ACC-02,256.0,-0.8515974693106305,-0.41847692469632003,-0.17103007424261926
2025-10-27T13:16:02.787311-06:00,2025-10-27T19:16:02.787311+00:00,T14-I-CUE,ACC-01,256.0,0.4699419804209628,0.21191804352759497,0.10053031792547003
2025-10-27T13:16:02.792634-06:00,2025-10-27T19:16:02.792634+00:00,T13-I-CUE,ACC-02,256.0,-0.8058089838410132,-0.4375375503976074,-0.18727923020107895
2025-10-27T13:16:02.791217-06:00,2025-10-27T19:16:02.791217+00:00,T14-I-CUE,ACC-01,256.0,0.5198327428389039,0.23396116801858874,0.11048586569546555
2025-10-27T13:16:02.796540-06:00,2025-10-27T19:16:02.796540+00:00,T13-I-CUE,ACC-02,256.0,-0.8100241390960753,-0.3811187967823041,-0.199293165750552
2025-10-27T13:16:02.795123-06:00,2025-10-27T19:16:02.795123+00:00,T14-I-CUE,ACC-01,256.0,0.5609129843205416,0.3137104011694053,0.10479411012392027
2025-10-27T13:16:02.800446-06:00,2025-10-27T19:16:02.800446+00:00,T13-I-CUE,ACC-02,256.0,-0.7532822361909818,-0.409541726629981,-0.17995908672335043
2025-10-27T13:16:02.799030-06:00,2025-10-27T19:16:02.799030+00:00,T14-I-CUE,ACC-01,256.0,0.5991637702675537,0.28725166923966866,0.113803382336389
2025-10-27T13:16:02.804352-06:00,2025-10-27T19:16:02.804352+00:00,T13-I-CUE,ACC-02,256.0,-0.7615881641467465,-0.4319229896815527,-0.1675014820337251
2025-10-27T13:16:02.802936-06:00,2025-10-27T19:16:02.802936+00:00,T14-I-CUE,ACC-01,256.0,0.6734468168833571,0.3333607738235753,0.09355616571990472
2025-10-27T13:16:02.808259-06:00,2025-10-27T19:16:02.808259+00:00,T13-I-CUE,ACC-02,256.0,-0.7491267546948401,-0.3167362154014138,-0.16788147034110698
2025-10-27T13:16:02.806842-06:00,2025-10-27T19:16:02.806842+00:00,T14-I-CUE,ACC-01,256.0,0.7398886900648776,0.34861610495848944,0.12255801992756751
2025-10-27T13:16:02.810748-06:00,2025-10-27T19:16:02.810748+00:00,T14-I-CUE,ACC-01,256.0,0.7474339424813399,0.39111828937372867,0.1237834973088308
2025-10-27T13:16:02.812165-06:00,2025-10-27T19:16:02.812165+00:00,T13-I-CUE,ACC-02,256.0,-0.7031596579113123,-0.36414594002510253,-0.14584645971203594
2025-10-27T13:16:02.816071-06:00,2025-10-27T19:16:02.816071+00:00,T13-I-CUE,ACC-02,256.0,-0.7030605883470626,-0.3391375308229285,-0.14107647361504877
2025-10-27T13:16:02.814655-06:00,2025-10-27T19:16:02.814655+00:00,T14-I-CUE,ACC-01,256.0,0.8429679277531902,0.385472411922982,0.17423222130026683
2025-10-27T13:16:02.818561-06:00,2025-10-27T19:16:02.818561+00:00,T14-I-CUE,ACC-01,256.0,0.8260539715196781,0.43708985796437816,0.19040192267309383
2025-10-27T13:16:02.819977-06:00,2025-10-27T19:16:02.819977+00:00,T13-I-CUE,ACC-02,256.0,-0.6217956843772118,-0.3541118562619457,-0.16730457437820506
2025-10-27T13:16:02.822467-06:00,2025-10-27T19:16:02.822467+00:00,T14-I-CUE,ACC-01,256.0,0.8565734617402143,0.43908744219421725,0.17603503522765507
2025-10-27T13:16:02.826373-06:00,2025-10-27T19:16:02.826373+00:00,T14-I-CUE,ACC-01,256.0,0.910271169161103,0.4404515735809564,0.1469778277820567
2025-10-27T13:16:02.823884-06:00,2025-10-27T19:16:02.823884+00:00,T13-I-CUE,ACC-02,256.0,-0.6358514728020231,-0.30936677985174243,-0.11737020710664418
2025-10-27T13:16:02.830280-06:00,2025-10-27T19:16:02.830280+00:00,T14-I-CUE,ACC-01,256.0,0.892866234152763,0.4499819538232589,0.15579886080875344
2025-10-27T13:16:02.827790-06:00,2025-10-27T19:16:02.827790+00:00,T13-I-CUE,ACC-02,256.0,-0.576297261012497,-0.2997651545631084,-0.12263002609015318
2025-10-27T13:16:02.834186-06:00,2025-10-27T19:16:02.834186+00:00,T14-I-CUE,ACC-01,256.0,0.9631162306867829,0.4469180505784212,0.17664476754937308
2025-10-27T13:16:02.838092-06:00,2025-10-27T19:16:02.838092+00:00,T14-I-CUE,ACC-01,256.0,1.0073159751905238,0.4906378957901081,0.1997748362737131
2025-10-27T13:16:02.831696-06:00,2025-10-27T19:16:02.831696+00:00,T13-I-CUE,ACC-02,256.0,-0.5291798862933665,-0.27575859529556584,-0.09116685083617615
2025-10-27T13:16:02.841998-06:00,2025-10-27T19:16:02.841998+00:00,T14-I-CUE,ACC-01,256.0,0.9738784527491323,0.4796991626919014,0.23135303236067173
2025-10-27T13:16:02.835602-06:00,2025-10-27T19:16:02.835602+00:00,T13-I-CUE,ACC-02,256.0,-0.5527201556128468,-0.2711790565427167,-0.09472069693716587
2025-10-27T13:16:02.845905-06:00,2025-10-27T19:16:02.845905+00:00,T14-I-CUE,ACC-01,256.0,0.9891752315453148,0.4501474303152039,0.19727894998896556
2025-10-27T13:16:02.839509-06:00,2025-10-27T19:16:02.839509+00:00,T13-I-CUE,ACC-02,256.0,-0.4913218530718874,-0.23525145132275063,-0.1127812453203727
2025-10-27T13:16:02.843415-06:00,2025-10-27T19:16:02.843415+00:00,T13-I-CUE,ACC-02,256.0,-0.4665030944418956,-0.23977003300178423,-0.05550019959387912
2025-10-27T13:16:02.849811-06:00,2025-10-27T19:16:02.849811+00:00,T14-I-CUE,ACC-01,256.0,1.020020810915826,0.4765360746899584,0.232333384516208
